uf,endereco,cidade,bairro,latitude,longitude,data_ocorrencia,hora_ocorrencia,presenca_agentes,acao_policial,unidades_policiais,motivo_principal,outros_recortes,tipo,situacao,idade,faixa_etaria,raca,genero,local,circunstancias_vitima,qualificacoes_vitima,status_servico,status_politico,posicao_politico,partido_político,posicao_agente,coorporacao_agente,status_agente,tipo_pessoa
Pernambuco,"Igarassu, PE, Brasil",IGARASSU,NI,-7.842699699999999,-34.9074381,2024-12-31,00:00:00,Sim,Sim,Polícia Civil,Ação policial,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Av. Mal. Rondon - Engenho Novo, Rio de Janeiro - RJ, 20950-312, Brasil",RIO DE JANEIRO,ENGENHO NOVO,-22.904391112626428,-43.26413226679535,2024-12-31,11:30:00,Não,Não,,Disputa,,Pessoa,Morta,61.0,Idoso,Não identificado,Mulher cis,Sem identificação,Bala perdida,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. Dois de Fevereiro, Centro, Lauro de Freitas - BA, Brasil",LAURO DE FREITAS,CENTRO,-12.89936077856316,-38.32205948044693,2024-12-29,22:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,45.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Córrego do Nozinho - Águas Compridas, Olinda - PE, Brasil",OLINDA,AGUAS COMPRIDAS,-7.9941901,-34.8966566,2024-12-31,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,31.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. Ana Galvão- Camaçari de Dentro, Camaçari - BA, Brasil",CAMACARI,CAMACARI DE DENTRO,-12.704369187529062,-38.33472581491644,2024-12-30,19:50:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,25.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Av. Sen. Nilo de Souza Coelho, Olinda - PE, 53300-380, Brasil",OLINDA,OURO PRETO,-7.997298169447907,-34.87227144043748,2024-12-30,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,31.0,Adulto,Negra,Homem cis,Automóvel,Sem identificação,"Outros,PPTE",Não identificado,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. 16 de Agosto - São Cristóvão, Salvador - BA, Brasil",SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30,18:20:00,Não,Não,,Ataque a civis,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. 16 de Agosto - São Cristóvão, Salvador - BA, Brasil",SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30,18:20:00,Não,Não,,Ataque a civis,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. 16 de Agosto - São Cristóvão, Salvador - BA, Brasil",SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30,18:20:00,Não,Não,,Ataque a civis,,Pessoa,Ferida,,Adulto,Não identificado,Mulher cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. 16 de Agosto - São Cristóvão, Salvador - BA, Brasil",SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30,18:20:00,Não,Não,,Ataque a civis,,Pessoa,Morta,56.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. 16 de Agosto - São Cristóvão, Salvador - BA, Brasil",SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30,18:20:00,Não,Não,,Ataque a civis,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Rua Major Goudin - Venda da Cruz, São Gonçalo - RJ, Brasil",SÃO GONÇALO,VENDA DA CRUZ,-22.8618208,-43.0860854,2024-12-28,22:00:00,Não,Não,,Tentativa/Roubo,,Pessoa,Ferida,16.0,Adolescente,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
