uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Rio de Janeiro,DUQUE DE CAXIAS,GRAMACHO,-22.7599934,-43.3107826,2024-12-31 00:00:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,ENGENHO NOVO,-22.904391112626428,-43.26413226679535,2024-12-31 11:30:00,Usuário,Não,Não,1.0,,,,Não,Disputa,#fe9600,,,12
Bahia,LAURO DE FREITAS,CENTRO,-12.89936077856316,-38.32205948044693,2024-12-29 22:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,CAMACARI,AREMBEPE,-12.7681931,-38.1901932,2024-12-30 00:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,12
Pernambuco,OLINDA,AGUAS COMPRIDAS,-7.9941901,-34.8966566,2024-12-31 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,CAMACARI,CAMACARI DE DENTRO,-12.704369187529062,-38.33472581491644,2024-12-30 19:50:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,OLINDA,OURO PRETO,-7.997298169447907,-34.87227144043748,2024-12-30 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Rio de Janeiro,DUQUE DE CAXIAS,CENTENARIO,-22.77252271,-43.30980255,2024-12-31 18:30:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,12
Rio de Janeiro,SÃO JOÃO DE MERITI,EDEN,-22.796907586587885,-43.39369677007198,2024-12-31 07:25:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,12
Bahia,SALVADOR,SAO CRISTOVAO,-12.911351080305186,-38.35647401150055,2024-12-30 18:20:00,Imprensa,Não,Não,1.0,4.0,,,Não,Ataque a civis,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,VILA ISABEL,-22.91114224740468,-43.25654504711305,2024-12-30 20:42:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,12
Rio de Janeiro,SÃO GONÇALO,VENDA DA CRUZ,-22.8618208,-43.0860854,2024-12-28 22:00:00,Imprensa,Não,Não,,2.0,,,Não,Tentativa/Roubo,#fe9600,,,12
Pernambuco,CABO DE SANTO AGOSTINHO,PONTE DOS CARVALHOS,-8.238063384315858,-34.980197584640095,2024-12-29 00:00:00,Usuário,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,PAULISTA,TORRES GALVAO,-7.9557997,-34.8754852,2024-12-28 11:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,12
Pernambuco,RECIFE,CAJUEIRO,-8.011356100000002,-34.8858658,2024-12-30 00:00:00,Imprensa,Sim,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,12
Pernambuco,ITAPISSUMA,CONCEICAO,-7.771669161333301,-34.900196731723504,2024-12-30 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,AGUA FRIA,-8.0163646,-34.9003968,2024-12-30 06:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,CURADO,-8.068960063171494,-34.98087108039554,2024-12-29 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,JABOATAO DOS GUARARAPES,SUCUPIRA,-8.0996414,-34.966342,2024-12-29 00:00:00,Imprensa,Não,Não,2.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,CASCADURA,-22.892324971301782,-43.33377861518315,2024-12-29 17:00:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,12
Pernambuco,CABO DE SANTO AGOSTINHO,ROSARIO - PE 60,-8.308577865463675,-35.01848694940736,2024-12-29 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,JABOATAO DOS GUARARAPES,VILA RICA,-8.1256051,-35.0302912,2024-12-29 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,SAN MARTIN,-8.082369357806241,-34.93321489992915,2024-12-29 05:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,SAO LOURENCO DA MATA,NOSSA SENHORA DA LUZ,-8.042825285511405,-35.10201103053486,2024-12-29 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,IPUTINGA,-8.04079832260638,-34.930286550074726,2024-12-28 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,JABOATAO DOS GUARARAPES,DOIS CARNEIROS,-8.1127374,-34.9657877,2024-12-29 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,BARRA DA TIJUCA,-22.9730351,-43.35803689999999,2024-12-29 15:00:00,Imprensa,Não,Não,,1.0,,,Não,Não identificado,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,TANQUE,-22.9161954,-43.3551228,2024-12-29 17:00:00,Imprensa,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,VILA ISABEL,-22.911472487244524,-43.261673517227166,2024-12-29 18:20:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,VARGEM PEQUENA,-22.9944043854936,-43.4458335703613,2024-12-28 21:00:00,Imprensa,Não,Não,,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,VERA CRUZ,VERA CRUZ,-13.0423553,-38.6905861,2024-12-29 14:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,SALVADOR,FAZENDA COUTOS,-12.848430337620972,-38.45762283067835,2024-12-29 07:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,12
Bahia,LAURO DE FREITAS,IPITANGA,-12.894690487432966,-38.30437052733015,2024-12-29 13:30:00,Imprensa,Sim,Sim,3.0,,,,Sim,Disputa,#fe0000,,,12
